Date,Time
15-10-18,15:05:16
15-10-18,15:05:16
15-10-18,15:05:16
15-10-18,15:05:16
15-10-18,15:05:16
15-10-18,15:05:43
15-10-18,15:05:44
15-10-18,15:05:44
15-10-18,15:05:45
15-10-18,15:05:46
15-10-18,15:12:04
15-10-18,15:12:04
15-10-18,15:12:05
15-10-18,15:12:05
15-10-18,15:12:05
15-10-18,15:52:41
15-10-18,15:52:41
15-10-18,15:52:41
15-10-18,15:52:41
15-10-18,15:52:41
15-10-18,15:56:25
15-10-18,15:56:26
15-10-18,15:56:26
15-10-18,15:56:26
15-10-18,15:56:27
15-10-18,16:01:16
15-10-18,16:01:17
15-10-18,16:01:17
15-10-18,16:01:17
15-10-18,16:01:17
15-10-18,16:06:51
15-10-18,16:06:52
15-10-18,16:06:52
15-10-18,16:06:52
15-10-18,16:06:52
